Date,SAR_24K_G,SAR_22K_G,SAR_21K_G,SAR_18K_G
2000-01-31,,,,
2000-02-29,,,,
2000-03-31,,,,
2000-04-30,,,,
2000-05-31,,,,
2000-06-30,,,,
2000-07-31,,,,
2000-08-31,,,,
2000-09-30,,,,
2000-10-31,,,,
2000-11-30,,,,
2000-12-31,,,,
2001-01-31,,,,
2001-02-28,,,,
2001-03-31,,,,
2001-04-30,,,,
2001-05-31,,,,
2001-06-30,,,,
2001-07-31,,,,
2001-08-31,,,,
2001-09-30,,,,
2001-10-31,,,,
2001-11-30,,,,
2001-12-31,,,,
2002-01-31,,,,
2002-02-28,,,,
2002-03-31,,,,
2002-04-30,,,,
2002-05-31,,,,
2002-06-30,,,,
2002-07-31,,,,
2002-08-31,,,,
2002-09-30,,,,
2002-10-31,,,,
2002-11-30,,,,
2002-12-31,,,,
2003-01-31,48.07,44.07,42.06,36.05
2003-02-28,48.35,44.32,42.31,36.26
2003-03-31,48.62,44.57,42.54,36.47
2003-04-30,48.62,44.57,42.54,36.47
2003-05-31,48.46,44.43,42.41,36.35
2003-06-30,48.46,44.43,42.41,36.35
2003-07-31,48.46,44.43,42.41,36.35
2003-08-31,49.28,45.17,43.12,36.96
2003-09-30,49.22,45.12,43.07,36.91
2003-10-31,49.1,45.01,42.97,36.83
2003-11-30,48.71,44.65,42.62,36.53
2003-12-31,49.02,44.93,42.89,36.76
2004-01-31,49.42,45.31,43.25,37.07
2004-02-29,49.28,45.17,43.12,36.96
2004-03-31,49.22,45.12,43.07,36.92
2004-04-30,49.22,45.12,43.07,36.92
2004-05-31,49.31,45.2,43.14,36.98
2004-06-30,49.41,45.29,43.24,37.06
2004-07-31,49.35,45.24,43.18,37.01
2004-08-31,49.27,45.17,43.11,36.95
2004-09-30,49.46,45.33,43.27,37.09
2004-10-31,49.3,45.19,43.13,36.97
2004-11-30,49.25,45.14,43.09,36.94
2004-12-31,49.38,45.26,43.21,37.03
2005-01-31,53.23,48.8,46.58,39.93
2005-02-28,53.33,48.88,46.66,39.99
2005-03-31,53.14,48.71,46.5,39.85
2005-04-30,53.08,48.66,46.45,39.81
2005-05-31,53.1,48.68,46.46,39.83
2005-06-30,53.15,48.72,46.51,39.86
2005-07-31,53.19,48.76,46.54,39.9
2005-08-31,53.3,48.86,46.64,39.98
2005-09-30,53.45,49.0,46.77,40.09
2005-10-31,53.58,49.12,46.88,40.18
2005-11-30,53.85,49.36,47.12,40.39
2005-12-31,53.84,49.35,47.11,40.38
2006-01-31,72.98,66.9,63.86,54.74
2006-02-28,73.29,67.19,64.13,54.97
2006-03-31,73.29,67.18,64.13,54.97
2006-04-30,73.23,67.13,64.08,54.92
2006-05-31,73.58,67.44,64.38,55.18
2006-06-30,73.42,67.3,64.24,55.06
2006-07-31,73.02,66.93,63.89,54.76
2006-08-31,72.44,66.4,63.38,54.33
2006-09-30,73.22,67.11,64.06,54.91
2006-10-31,72.7,66.64,63.61,54.52
2006-11-30,72.87,66.8,63.76,54.65
2006-12-31,72.82,66.75,63.72,54.62
2007-01-31,82.93,76.02,72.57,62.2
2007-02-28,82.76,75.86,72.41,62.07
2007-03-31,82.79,75.89,72.44,62.09
2007-04-30,83.2,76.27,72.8,62.4
2007-05-31,82.97,76.06,72.6,62.23
2007-06-30,83.32,76.37,72.9,62.49
2007-07-31,83.38,76.43,72.96,62.54
2007-08-31,83.27,76.34,72.87,62.46
2007-09-30,83.4,76.45,72.97,62.55
2007-10-31,83.57,76.6,73.12,62.67
2007-11-30,83.91,76.92,73.42,62.93
2007-12-31,83.68,76.7,73.21,62.76
2008-01-31,104.0,95.33,91.0,78.0
2008-02-29,104.05,95.38,91.04,78.03
2008-03-31,103.85,95.19,90.87,77.89
2008-04-30,103.81,95.15,90.83,77.85
2008-05-31,103.52,94.89,90.58,77.64
2008-06-30,104.15,95.47,91.13,78.11
2008-07-31,104.26,95.57,91.23,78.2
2008-08-31,104.76,96.03,91.67,78.57
2008-09-30,104.76,96.03,91.66,78.57
2008-10-31,104.57,95.86,91.5,78.43
2008-11-30,104.37,95.67,91.32,78.28
2008-12-31,103.93,95.27,90.94,77.95
2009-01-31,116.65,106.93,102.07,87.49
2009-02-28,116.55,106.84,101.98,87.42
2009-03-31,116.49,106.78,101.93,87.37
2009-04-30,116.4,106.7,101.85,87.3
2009-05-31,116.51,106.8,101.95,87.38
2009-06-30,116.6,106.89,102.03,87.45
2009-07-31,116.55,106.84,101.98,87.41
2009-08-31,116.49,106.78,101.93,87.37
2009-09-30,115.93,106.27,101.44,86.95
2009-10-31,115.83,106.18,101.36,86.87
2009-11-30,116.42,106.72,101.87,87.32
2009-12-31,116.27,106.58,101.74,87.2
2010-01-31,145.95,133.79,127.71,109.46
2010-02-28,146.36,134.16,128.06,109.76
2010-03-31,146.45,134.24,128.14,109.83
2010-04-30,146.44,134.23,128.13,109.83
2010-05-31,147.02,134.77,128.65,110.27
2010-06-30,147.77,135.46,129.3,110.83
2010-07-31,147.79,135.47,129.31,110.84
2010-08-31,147.72,135.41,129.26,110.79
2010-09-30,147.81,135.49,129.33,110.86
2010-10-31,147.53,135.24,129.09,110.65
2010-11-30,148.36,136.0,129.82,111.27
2010-12-31,147.63,135.33,129.18,110.72
2011-01-31,188.37,172.68,164.83,141.28
2011-02-28,189.25,173.48,165.59,141.94
2011-03-31,189.81,174.0,166.09,142.36
2011-04-30,188.96,173.22,165.34,141.72
2011-05-31,189.14,173.38,165.5,141.85
2011-06-30,189.36,173.58,165.69,142.02
2011-07-31,189.22,173.45,165.56,141.91
2011-08-31,190.16,174.31,166.39,142.62
2011-09-30,190.44,174.57,166.63,142.83
2011-10-31,191.01,175.1,167.14,143.26
2011-11-30,190.8,174.9,166.95,143.1
2011-12-31,189.99,174.15,166.24,142.49
2012-01-31,201.53,184.74,176.34,151.15
2012-02-29,201.1,184.34,175.97,150.83
2012-03-31,201.09,184.33,175.95,150.82
2012-04-30,200.92,184.18,175.81,150.69
2012-05-31,200.87,184.13,175.76,150.65
2012-06-30,200.84,184.1,175.74,150.63
2012-07-31,201.23,184.46,176.07,150.92
2012-08-31,201.08,184.32,175.94,150.81
2012-09-30,200.96,184.22,175.84,150.72
2012-10-31,201.21,184.44,176.06,150.9
2012-11-30,201.33,184.55,176.16,151.0
2012-12-31,201.38,184.6,176.21,151.04
2013-01-31,172.39,158.02,150.84,129.29
2013-02-28,172.18,157.83,150.66,129.13
2013-03-31,172.19,157.84,150.66,129.14
2013-04-30,172.08,157.74,150.57,129.06
2013-05-31,171.61,157.31,150.16,128.71
2013-06-30,172.0,157.67,150.5,129.0
2013-07-31,171.33,157.06,149.92,128.5
2013-08-31,171.81,157.49,150.33,128.85
2013-09-30,171.81,157.49,150.33,128.86
2013-10-31,171.46,157.17,150.03,128.6
2013-11-30,171.09,156.84,149.71,128.32
2013-12-31,169.95,155.79,148.71,127.46
2014-01-31,151.49,138.87,132.56,113.62
2014-02-28,151.53,138.9,132.59,113.65
2014-03-31,151.69,139.05,132.73,113.77
2014-04-30,151.67,139.03,132.71,113.75
2014-05-31,151.62,138.98,132.66,113.71
2014-06-30,152.04,139.37,133.04,114.03
2014-07-31,152.15,139.47,133.13,114.11
2014-08-31,152.29,139.6,133.25,114.22
2014-09-30,152.7,139.97,133.61,114.52
2014-10-31,152.86,140.12,133.75,114.64
2014-11-30,153.15,140.39,134.01,114.86
2014-12-31,153.36,140.58,134.19,115.02
2015-01-31,140.37,128.68,122.83,105.28
2015-02-28,140.24,128.55,122.71,105.18
2015-03-31,139.77,128.12,122.3,104.82
2015-04-30,139.93,128.27,122.44,104.95
2015-05-31,139.96,128.3,122.47,104.98
2015-06-30,139.61,127.98,122.16,104.71
2015-07-31,139.05,127.47,121.67,104.29
2015-08-31,139.08,127.49,121.69,104.31
2015-09-30,139.26,127.66,121.85,104.45
2015-10-31,139.49,127.86,122.05,104.62
2015-11-30,139.24,127.63,121.83,104.43
2015-12-31,139.69,128.05,122.23,104.77
2016-01-31,150.02,137.52,131.27,112.52
2016-02-29,150.42,137.88,131.61,112.81
2016-03-31,150.99,138.41,132.11,113.24
2016-04-30,150.72,138.16,131.88,113.04
2016-05-31,150.87,138.3,132.01,113.15
2016-06-30,149.79,137.31,131.07,112.34
2016-07-31,151.38,138.77,132.46,113.54
2016-08-31,151.47,138.85,132.54,113.6
2016-09-30,151.05,138.46,132.17,113.29
2016-10-31,151.29,138.69,132.38,113.47
2016-11-30,151.24,138.64,132.33,113.43
2016-12-31,150.68,138.12,131.84,113.01
2017-01-31,151.06,138.48,132.18,113.3
2017-02-28,151.05,138.46,132.17,113.29
2017-03-31,150.75,138.19,131.9,113.06
2017-04-30,150.74,138.18,131.9,113.06
2017-05-31,150.82,138.26,131.97,113.12
2017-06-30,151.02,138.44,132.15,113.27
2017-07-31,150.65,138.09,131.82,112.98
2017-08-31,150.57,138.02,131.75,112.93
2017-09-30,150.68,138.12,131.85,113.01
2017-10-31,150.83,138.26,131.97,113.12
2017-11-30,151.0,138.41,132.12,113.25
2017-12-31,151.27,138.67,132.36,113.45
2018-01-31,152.64,139.92,133.56,114.48
2018-02-28,152.78,140.05,133.68,114.59
2018-03-31,152.97,140.22,133.85,114.73
2018-04-30,153.09,140.34,133.96,114.82
2018-05-31,153.17,140.41,134.02,114.88
2018-06-30,153.12,140.36,133.98,114.84
2018-07-31,153.08,140.32,133.94,114.81
2018-08-31,152.89,140.15,133.78,114.67
2018-09-30,152.72,140.0,133.63,114.54
2018-10-31,152.84,140.1,133.74,114.63
2018-11-30,153.2,140.43,134.05,114.9
2018-12-31,153.27,140.5,134.11,114.95
2019-01-31,166.38,152.51,145.58,124.78
2019-02-28,166.84,152.94,145.99,125.13
2019-03-31,167.63,153.66,146.67,125.72
2019-04-30,167.42,153.47,146.49,125.56
2019-05-31,167.01,153.09,146.14,125.26
2019-06-30,166.87,152.96,146.01,125.15
2019-07-31,166.95,153.04,146.08,125.21
2019-08-31,167.12,153.19,146.23,125.34
2019-09-30,167.23,153.29,146.33,125.42
2019-10-31,167.06,153.14,146.18,125.3
2019-11-30,166.78,152.88,145.93,125.08
2019-12-31,167.1,153.17,146.21,125.32
2020-01-31,211.2,193.6,184.8,158.4
2020-02-29,211.6,193.97,185.15,158.7
2020-03-31,212.16,194.48,185.64,159.12
2020-04-30,212.36,194.66,185.82,159.27
2020-05-31,213.3,195.52,186.63,159.97
2020-06-30,213.69,195.88,186.98,160.27
2020-07-31,214.14,196.29,187.37,160.6
2020-08-31,214.3,196.44,187.52,160.73
2020-09-30,214.14,196.3,187.37,160.61
2020-10-31,214.19,196.34,187.42,160.65
2020-11-30,212.52,194.81,185.96,159.39
2020-12-31,212.09,194.42,185.58,159.07
2021-01-31,217.06,198.98,189.93,162.8
2021-02-28,216.92,198.84,189.8,162.69
2021-03-31,216.65,198.6,189.57,162.49
2021-04-30,216.94,198.86,189.82,162.71
2021-05-31,217.37,199.26,190.2,163.03
2021-06-30,217.04,198.96,189.91,162.78
2021-07-31,216.91,198.83,189.79,162.68
2021-08-31,216.47,198.43,189.41,162.35
2021-09-30,216.48,198.44,189.42,162.36
2021-10-31,216.97,198.89,189.85,162.73
2021-11-30,216.82,198.75,189.72,162.61
2021-12-31,216.67,198.61,189.58,162.5
2022-01-31,217.31,199.2,190.15,162.98
2022-02-28,216.93,198.85,189.82,162.7
2022-03-31,216.95,198.87,189.83,162.71
2022-04-30,218.77,200.54,191.42,164.08
2022-05-31,217.57,199.44,190.37,163.18
2022-06-30,216.97,198.89,189.85,162.73
2022-07-31,217.75,199.61,190.53,163.32
2022-08-31,218.9,200.66,191.53,164.17
2022-09-30,218.21,200.03,190.93,163.66
2022-10-31,218.56,200.35,191.24,163.92
2022-11-30,219.2,200.93,191.8,164.4
2022-12-31,219.1,200.84,191.72,164.33
2023-01-31,233.45,214.0,204.27,175.09
2023-02-28,232.86,213.46,203.76,174.65
2023-03-31,233.12,213.69,203.98,174.84
2023-04-30,233.13,213.7,203.99,174.84
2023-05-31,232.63,213.24,203.55,174.47
2023-06-30,232.69,213.3,203.6,174.52
2023-07-31,232.2,212.85,203.18,174.15
2023-08-31,231.97,212.64,202.97,173.98
2023-09-30,232.42,213.05,203.37,174.32
2023-10-31,232.47,213.1,203.41,174.35
2023-11-30,232.47,213.1,203.41,174.35
2023-12-31,232.79,213.39,203.69,174.59
2024-01-31,285.48,261.69,249.8,214.11
2024-02-29,285.11,261.36,249.48,213.84
2024-03-31,285.53,261.73,249.83,214.15
2024-04-30,285.63,261.83,249.93,214.22
2024-05-31,286.42,262.55,250.62,214.82
2024-06-30,285.91,262.09,250.17,214.43
2024-07-31,285.34,261.56,249.67,214.0
2024-08-31,285.24,261.47,249.59,213.93
2024-09-30,285.94,262.11,250.19,214.45
2024-10-31,286.79,262.89,250.94,215.09
2024-11-30,287.56,263.6,251.62,215.67
2024-12-31,287.57,263.6,251.62,215.68
2025-01-31,403.62,369.98,353.17,302.71
2025-02-28,405.41,371.63,354.73,304.06
2025-03-31,405.46,371.67,354.78,304.09
2025-04-30,404.84,371.11,354.24,303.63
2025-05-31,406.89,372.98,356.03,305.17
